Category,Name,Price,Sizes,Colors
Women's Clothing,T-shirt,20,"Small, Medium, Large, XL","Red, White, Black, Gray, Navy"
Women's Clothing,Elegant Evening Gown,150,"Small, Medium, Large, XL","Black, Navy Blue, Burgundy"
Women's Clothing,Floral Summer Dress,45,"Small, Medium, Large","Floral Print, Blue, Pink"
Women's Clothing,Professional Blazer,80,"Small, Medium, Large, XL","Black, Gray, Navy"
Men's Clothing,Classic Suit Set,200,"Small, Medium, Large, XL","Charcoal Gray, Navy Blue, Black"
Men's Clothing,Casual Denim Jeans,35,"28, 30, 32, 34","Blue Denim, Black"
Men's Clothing,Polo Shirt Collection,25,"Small, Medium, Large, XL","White, Blue, Red, Green"
Accessories,Stylish Sunglasses,20,,"Black, Brown, Tortoise Shell"
Accessories,Leather Handbag,60,,"Brown, Black, Red"
Accessories,Classic Wristwatch,50,,"Silver, Gold, Rose Gold"
Footwear,High-Heel Ankle Boots,70,"5, 6, 7, 8, 9, 10","Black, Tan, Burgundy"
Footwear,Comfortable Sneakers,55,"6, 7, 8, 9, 10, 11, 12","White, Black, Gray"
Footwear,Formal Leather Shoes,90,"7, 8, 9, 10, 11","Brown, Black"
Kids' Collection,Cute Cartoon T-shirts,15,"2T, 3T, 4T","Blue, Pink, Yellow"
Kids' Collection,Adorable Onesies,25,"Newborn, 3M, 6M, 12M","Pastel Blue, Pink, Mint Green"
Kids' Collection,Trendy Kids' Backpacks,30,,"Blue, Red, Purple"
Activewear,Yoga Leggings,30,"Small, Medium, Large","Black, Gray, Teal"
Activewear,Running Shoes,40,"6, 7, 8, 9, 10, 11, 12","White, Black, Neon Green"
Activewear,Quick-Dry Sports T-shirt,20,"Small, Medium, Large","Red, Blue, Gray"
